Player,Rk,Tm,VORPFit,Lwr,Upr,Notes
Bruno Caboclo,74,TOR,0.19,-1.48,1.85,
Chris Andersen,13,CLE,0.18,-0.9,1.26,
A.J. Hammons,NA,DAL,0.18,-0.65,2.15,
Raymond Felton,140,LAC,0.18,-1.15,1.5,
Jerryd Bayless,39,PHI,0.18,-1.38,1.74,
Delon Wright,469,TOR,0.18,-1.16,1.52,
JaMychal Green,169,MEM,0.17,-1.49,1.83,
Dion Waiters,444,MIA,0.17,-1.57,1.91,
Lance Stephenson,410,NOP,0.17,-1.55,1.89,
Anthony Morrow,315,OKC,0.17,-1.38,1.73,
Shane Larkin,256,FA,0.16,-1.52,1.83,
Montrezl Harrell,180,HOU,0.16,-1.18,1.5,
C.J. Watson,448,ORL,0.16,-1.47,1.8,
Alan Williams,457,PHO,0.16,-1.18,1.51,
Henry Sims,396,UTA,0.16,-1.58,1.9,
Christian Wood,466,CHO,0.15,-1.19,1.5,
Jeff Ayres,28,FA,0.15,-1.57,1.87,
O.J. Mayo,283,FA,0.15,-1.41,1.71,
Greg Smith,400,FA,0.14,-1.75,2.02,
K.J. McDaniels,290,HOU,0.14,-1.52,1.8,
Sam Dekker,112,HOU,0.14,-1.2,1.48,
Tyus Jones,240,MIN,0.14,-1.2,1.48,
Cheick Diallo,NA,NOP,0.14,-0.89,1.97,
Jordan Mickey,299,BOS,0.13,-1.21,1.48,
Bobby Portis,359,CHI,0.13,-1.22,1.47,
J.J. Hickson,194,FA,0.13,-1.43,1.69,
Tarik Black,49,LAL,0.13,-1.53,1.79,
Jarell Martin,280,MEM,0.13,-1.21,1.47,
Richard Jefferson,224,CLE,0.12,-1.07,1.31,
Matt Bonner,55,FA,0.12,-1,1.24,
Briante Weber,449,FA,0.12,-1.22,1.46,
Nick Collison,92,OKC,0.12,-1,1.24,
Spencer Dinwiddie,118,FA,0.11,-1.55,1.77,
Salah Mejri,298,DAL,0.11,-1.23,1.46,
DeJuan Blair,50,FA,0.11,-1.48,1.71,
Shayne Whittington,454,FA,0.11,-1.55,1.77,
Ian Clark,87,GSW,0.11,-1.56,1.79,
Zach Randolph,368,MEM,0.11,-1.09,1.32,
Miles Plumlee,357,MIL,0.11,-1.63,1.86,
E'Twaun Moore,311,NOP,0.11,-1.77,2,
Aaron Harrison,185,CHO,0.1,-1.24,1.44,
Ray McCallum,286,DET,0.09,-1.58,1.77,
JaVale McGee,293,GSW,0.09,-1.46,1.65,
Jason Terry,420,MIL,0.09,-1.52,1.7,
Joffrey Lauvergne,257,OKC,0.09,-1.56,1.75,
Mitch McGary,292,FA,0.09,-1.57,1.75,
Jordan Farmar,137,SAC,0.09,-1.54,1.73,
R.J. Hunter,212,BOS,0.08,-1.26,1.42,
Markel Brown,65,FA,0.08,-1.58,1.74,
Donatas Motiejunas,316,HOU,0.08,-1.66,1.82,
Austin Rivers,372,LAC,0.08,-1.66,1.82,
Tim Frazier,143,NOP,0.08,-1.58,1.74,
Tyler Zeller,476,BOS,0.07,-1.67,1.81,
Deyonta Davis,NA,MEM,0.07,-0.56,1.03,
J.J. O'Brien,334,FA,0.07,-1.28,1.41,
Justin Holiday,202,NYK,0.07,-1.61,1.74,
Ronnie Price,364,FA,0.07,-1.26,1.41,
Axel Toupane,429,FA,0.06,-1.28,1.4,
Tyrone Wallace,NA,FA,0.06,-1.12,1.83,
Anderson Varejao,436,GSW,0.06,-1.06,1.18,
Corey Brewer,61,HOU,0.06,-1.58,1.7,
Thomas Robinson,377,LAL,0.06,-1.68,1.8,
Willie Reed,370,MIA,0.06,-1.28,1.4,
Alexis Ajinca,5,NOP,0.06,-1.66,1.78,
Alex Len,262,PHO,0.06,-1.61,1.74,
Joe Harris,183,BRK,0.05,-1.61,1.71,
Eric Moreland,312,FA,0.05,-1.61,1.71,
Russ Smith,405,FA,0.05,-1.61,1.72,
Xavier Munford,320,FA,0.05,-1.29,1.39,
Damien Inglis,217,FA,0.05,-1.29,1.39,
Branden Dawson,109,FA,0.05,-1.29,1.4,
D.J. Augustin,27,ORL,0.05,-1.5,1.61,
John Jenkins,225,PHO,0.05,-1.69,1.79,
Tim Hardaway Jr,176,ATL,0.04,-1.64,1.71,
Lorenzo Brown,64,FA,0.04,-1.63,1.72,
Erick Green,167,FA,0.04,-1.62,1.7,
Patrick McCaw,NA,GSW,0.04,-0.96,1.82,
Phil Pressey,363,FA,0.04,-1.63,1.72,
Luke Babbitt,29,MIA,0.04,-1.68,1.75,
Rasual Butler,73,FA,0.04,-1.21,1.29,
Sasha Vujacic,442,NYK,0.04,-1.59,1.68,
Daniel Hamilton,NA,OKC,0.04,-0.5,0.82,
Walter Tavares,416,ATL,0.03,-1.31,1.37,
Chase Budinger,67,FA,0.03,-1.56,1.62,
Bryce Cotton,96,FA,0.03,-1.64,1.69,
Chuck Hayes,188,FA,0.03,-1.29,1.36,
Gary Neal,324,FA,0.03,-1.69,1.75,
