,Player,Rk,Tm,Fit,Lwr,Upr,Notes
339,Kris Dunn,NA,MIN,-0.08,-1.66,1.89,
340,Brandon Rush,384,MIN,-0.19,-1.75,1.37,
341,Shabazz Muhammad,319,MIN,-0.22,-1.89,1.46,
342,Adreian Payne,349,MIN,-0.35,-2.01,1.31,
343,Anthony Davis,107,NOP,4.1,1.54,6.65,
344,Jrue Holiday,201,NOP,1.31,-0.28,2.9,
345,Tyreke Evans,134,NOP,1.09,-0.51,2.68,
346,Langston Galloway,147,NOP,0.9,-0.75,2.56,
347,Solomon Hill,198,NOP,0.73,-0.95,2.41,
348,Terrence Jones,239,NOP,0.47,-1.28,2.22,
349,Dante Cunningham,102,NOP,0.36,-1.23,1.95,
350,Alonzo Gee,152,FA,0.23,-1.36,1.82,
351,Lance Stephenson,410,NOP,0.17,-1.55,1.89,
352,Cheick Diallo,NA,NOP,0.14,-0.89,1.97,
353,E'Twaun Moore,311,NOP,0.11,-1.77,2,
354,Tim Frazier,143,NOP,0.08,-1.58,1.74,
355,Alexis Ajinca,5,NOP,0.06,-1.66,1.78,
356,Robert Sacre,386,FA,-0.03,-1.77,1.71,
357,Buddy Hield,NA,NOP,-0.06,-1.5,2.55,
358,Omer Asik,26,NOP,-0.13,-1.85,1.59,
359,Carmelo Anthony,21,NYK,2.16,0.82,3.5,
360,Joakim Noah,328,NYK,1.85,0.19,3.52,
361,Kristaps Porzingis,360,NYK,1.65,0.31,3,
362,Courtney Lee,260,NYK,0.71,-0.84,2.26,
363,Kyle O'Quinn,336,NYK,0.69,-1.05,2.43,
364,Brandon Jennings,226,NYK,0.45,-1.14,2.04,
365,Justin Holiday,202,NYK,0.07,-1.61,1.74,
366,Damien Inglis,217,FA,0.05,-1.29,1.39,
367,Sasha Vujacic,442,NYK,0.04,-1.59,1.68,
368,Derrick Rose,379,NYK,-0.27,-1.86,1.32,
369,Lou Amundson,12,FA,-0.27,-1.73,1.18,
370,Lance Thomas,422,NYK,-0.47,-2.36,1.42,
371,Russell Westbrook,452,OKC,7.4,4.38,10.42,
372,Victor Oladipo,338,OKC,2,0.33,3.68,
373,Steven Adams,3,OKC,1.9,0.22,3.58,
374,Andre Roberson,373,OKC,1.15,-0.52,2.83,
375,Ersan Ilyasova,215,OKC,0.58,-0.98,2.14,
376,Cameron Payne,350,OKC,0.4,-0.94,1.74,
377,Enes Kanter,245,OKC,0.33,-1.56,2.23,
378,Kyle Singler,397,OKC,0.23,-1.51,1.97,
379,Anthony Morrow,315,OKC,0.17,-1.38,1.73,
380,Nick Collison,92,OKC,0.12,-1,1.24,
381,Joffrey Lauvergne,257,OKC,0.09,-1.56,1.75,
382,Mitch McGary,292,FA,0.09,-1.57,1.75,
383,Ronnie Price,364,FA,0.07,-1.26,1.41,
384,Daniel Hamilton,NA,OKC,0.04,-0.5,0.82,
385,Josh Huestis,210,OKC,-0.09,-1.43,1.25,
386,Domantas Sabonis,NA,OKC,-0.28,-1.53,1.07,
387,Aaron Gordon,159,ORL,1.66,0,3.33,
388,Nikola Vucevic,441,ORL,1.63,-0.26,3.52,
389,Serge Ibaka,213,ORL,1.36,-0.23,2.95,
390,Evan Fournier,141,ORL,1.31,-0.44,3.05,
391,Elfrid Payton,351,ORL,1,-0.66,2.66,
392,Bismack Biyombo,47,ORL,0.79,-1.1,2.69,
393,Jeff Green,170,ORL,0.41,-1.14,1.97,
394,Jodie Meeks,297,ORL,0.38,-1.21,1.98,
395,Mario Hezonja,192,ORL,0.36,-0.98,1.7,
396,Cliff Alexander,8,FA,0.22,-1.12,1.56,
397,C.J. Watson,448,ORL,0.16,-1.47,1.8,
398,Branden Dawson,109,FA,0.05,-1.29,1.4,
399,D.J. Augustin,27,ORL,0.05,-1.5,1.61,
400,C.J. Wilcox,456,ORL,0.03,-1.63,1.69,
401,Stephen Zimmerman,NA,ORL,-0.01,-1.49,1.67,
402,Damjan Rudez,383,ORL,-0.22,-1.89,1.44,
403,Nerlens Noel,329,PHI,1.82,0.15,3.48,
